index,for,,0
FuxEm_Like ARabbott,0,16,0.0
FuxEm_Like ARabbott,1,0,569.0
FuxEm_Like ARabbott,1,1,619.0
FuxEm_Like ARabbott,1,2,696.0
FuxEm_Like ARabbott,1,3,779.0
FuxEm_Like ARabbott,1,4,552.0
FuxEm_Like ARabbott,1,5,770.0
FuxEm_Like ARabbott,1,6,648.0
FuxEm_Like ARabbott,1,7,547.0
FuxEm_Like ARabbott,1,8,770.0
FuxEm_Like ARabbott,1,9,606.0
FuxEm_Like ARabbott,1,10,922.0
FuxEm_Like ARabbott,1,11,978.0
FuxEm_Like ARabbott,1,12,899.0
FuxEm_Like ARabbott,1,13,569.0
FuxEm_Like ARabbott,1,14,0.0
FuxEm_Like ARabbott,1,15,0.0
FuxEm_Like ARabbott,1,16,0.0
Harrisburg Frank,0,0,530.0
Harrisburg Frank,0,1,619.0
Harrisburg Frank,0,2,612.0
Harrisburg Frank,0,3,803.0
Harrisburg Frank,0,4,693.0
Harrisburg Frank,0,5,826.0
Harrisburg Frank,0,6,779.0
Harrisburg Frank,0,7,803.0
Harrisburg Frank,0,8,770.0
Harrisburg Frank,0,9,832.0
Harrisburg Frank,0,10,871.0
Harrisburg Frank,0,11,967.0
Harrisburg Frank,0,12,1084.0
Harrisburg Frank,0,13,530.0
Harrisburg Frank,0,14,0.0
Harrisburg Frank,0,15,0.0
Harrisburg Frank,0,16,0.0
Harrisburg Frank,1,0,801.0
Harrisburg Frank,1,1,651.0
Harrisburg Frank,1,2,771.0
Harrisburg Frank,1,3,979.0
Harrisburg Frank,1,4,811.0
Harrisburg Frank,1,5,854.0
Harrisburg Frank,1,6,846.0
Harrisburg Frank,1,7,1039.0
Harrisburg Frank,1,8,946.0
Harrisburg Frank,1,9,1012.0
Harrisburg Frank,1,10,1029.0
Harrisburg Frank,1,11,1195.0
Harrisburg Frank,1,12,975.0
Harrisburg Frank,1,13,801.0
Harrisburg Frank,1,14,0.0
Harrisburg Frank,1,15,0.0
Harrisburg Frank,1,16,0.0
King James  MVP 2021,0,0,816.0
King James  MVP 2021,0,1,582.0
King James  MVP 2021,0,2,771.0
King James  MVP 2021,0,3,779.0
King James  MVP 2021,0,4,697.0
King James  MVP 2021,0,5,718.0
King James  MVP 2021,0,6,1009.0
King James  MVP 2021,0,7,801.0
King James  MVP 2021,0,8,943.0
King James  MVP 2021,0,9,1012.0
King James  MVP 2021,0,10,922.0
King James  MVP 2021,0,11,934.0
King James  MVP 2021,0,12,765.0
King James  MVP 2021,0,13,816.0
King James  MVP 2021,0,14,0.0
King James  MVP 2021,0,15,0.0
King James  MVP 2021,0,16,0.0
King James  MVP 2021,1,0,663.0
King James  MVP 2021,1,1,493.0
King James  MVP 2021,1,2,612.0
King James  MVP 2021,1,3,689.0
King James  MVP 2021,1,4,395.0
King James  MVP 2021,1,5,717.0
King James  MVP 2021,1,6,585.0
King James  MVP 2021,1,7,552.0
King James  MVP 2021,1,8,667.0
King James  MVP 2021,1,9,832.0
King James  MVP 2021,1,10,803.0
King James  MVP 2021,1,11,835.0
King James  MVP 2021,1,12,841.0
King James  MVP 2021,1,13,663.0
King James  MVP 2021,1,14,0.0
King James  MVP 2021,1,15,0.0
King James  MVP 2021,1,16,0.0
Robin Lopez is bad,0,0,569.0
Robin Lopez is bad,0,1,493.0
Robin Lopez is bad,0,2,838.0
Robin Lopez is bad,0,3,950.0
Robin Lopez is bad,0,4,719.0
Robin Lopez is bad,0,5,826.0
Robin Lopez is bad,0,6,648.0
Robin Lopez is bad,0,7,1039.0
Robin Lopez is bad,0,8,667.0
Robin Lopez is bad,0,9,861.0
Robin Lopez is bad,0,10,659.0
Robin Lopez is bad,0,11,1228.0
Robin Lopez is bad,0,12,944.0
Robin Lopez is bad,0,13,569.0
Robin Lopez is bad,0,14,0.0
Robin Lopez is bad,0,15,0.0
Robin Lopez is bad,0,16,0.0
Robin Lopez is bad,1,0,528.0
Robin Lopez is bad,1,1,582.0
Robin Lopez is bad,1,2,816.0
Robin Lopez is bad,1,3,878.0
Robin Lopez is bad,1,4,624.0
Robin Lopez is bad,1,5,650.0
Robin Lopez is bad,1,6,844.0
Robin Lopez is bad,1,7,803.0
Robin Lopez is bad,1,8,943.0
Robin Lopez is bad,1,9,868.0
Robin Lopez is bad,1,10,851.0
Robin Lopez is bad,1,11,1012.0
Robin Lopez is bad,1,12,751.0
Robin Lopez is bad,1,13,528.0
Robin Lopez is bad,1,14,0.0
Robin Lopez is bad,1,15,0.0
Robin Lopez is bad,1,16,0.0
